Name,NACA 1410,,
Chord(mm),100,,
Radius(mm),0,,
Thickness(%),100,,
Origin(%),0,,
Pitch(deg),0,,
,,,
Airfoil surface,,,
X(mm),Y(mm),,
100,0.105,,"100,0.105"
95.021,0.832,,"95.021,0.832"
90.034,1.513,,"90.034,1.513"
80.049,2.741,,"80.049,2.741"
70.051,3.804,,"70.051,3.804"
60.042,4.692,,"60.042,4.692"
50.025,5.385,,"50.025,5.385"
40,5.836,,"40,5.836"
29.937,5.94,,"29.937,5.94"
24.907,5.809,,"24.907,5.809"
19.88,5.531,,"19.88,5.531"
14.861,5.062,,"14.861,5.062"
9.854,4.338,,"9.854,4.338"
7.358,3.837,,"7.358,3.837"
4.87,3.194,,"4.87,3.194"
2.398,2.297,,"2.398,2.297"
1.174,1.639,,"1.174,1.639"
0,0,,"0,0"
1.326,-1.515,,"1.326,-1.515"
2.602,-2.055,,"2.602,-2.055"
5.13,-2.726,,"5.13,-2.726"
7.642,-3.157,,"7.642,-3.157"
10.146,-3.462,,"10.146,-3.462"
15.139,-3.844,,"15.139,-3.844"
20.12,-4.031,,"20.12,-4.031"
25.093,-4.091,,"25.093,-4.091"
30.063,-4.064,,"30.063,-4.064"
40,-3.936,,"40,-3.936"
49.975,-3.439,,"49.975,-3.439"
59.958,-2.914,,"59.958,-2.914"
69.949,-2.304,,"69.949,-2.304"
79.951,-1.629,,"79.951,-1.629"
89.966,-0.901,,"89.966,-0.901"
94.979,-0.512,,"94.979,-0.512"
100,-0.105,,"100,-0.105"
,,,
Camber line,,,
X(mm),Y(mm),,
0,0,,
1.174,0.8195,,
2.398,0.164166,,
4.87,0.268506,,
7.358,0.364364,,
9.854,0.455784,,
14.861,0.619634,,
19.88,0.754505,,
24.907,0.860122,,
29.937,0.937658,,
40,0.95,,
50.025,0.974315,,
60.042,0.891564,,
70.051,0.753442,,
80.049,0.559562,,
90.034,0.308638,,
95.021,0.161702,,
100,0,,
,,,
Chord line,,,
X(mm),Y(mm),,
0,0,,
100,0,,
